       depth	       totalf	        clayf	         capf	        freef	         mlT2	         Ksdr	          Ktc	         Ksoe	         Tsdr	          Ttc	         Tsoe	          soe	        noise	    unix_time	 board_temp	 magnet_temp
1.5991360000	  0.0714431811	 0.0624951119	 0.0070572896	 0.0018907796	 0.0017118905	 0.0061133957	 0.0005195527	 0.0462107115	 0.0000000000	 0.0000000000	 0.0000000000	 0.0000330120	 10.0574490403	 0	 0.000000	 0.000000
2.4193360000	  0.0532633234	 0.0521382618	 0.0011250616	 0.0000000000	 0.0012388570	 0.0023869337	 0.0000000000	 0.1282211033	 0.0034859851	 0.0002130686	 0.0715344872	 0.0000914427	 7.1304613150	 0	 0.000000	 0.000000
3.2395360000	  0.0772729131	 0.0755849995	 0.0016879136	 0.0000000000	 0.0012473908	 0.0035107680	 0.0000000000	 0.0271107294	 0.0059046325	 0.0002130686	 0.1352360718	 0.0000193344	 5.6554168990	 0	 0.000000	 0.000000
4.0597360000	  0.0826962749	 0.0767473763	 0.0004076194	 0.0055412791	 0.0020084434	 0.0097403580	 0.0041976474	 0.4168671458	 0.0113389193	 0.0019345238	 0.3173113985	 0.0000508946	 5.2456167548	 0	 0.000000	 0.000000
4.8799360000	  0.0491656160	 0.0361762845	 0.0101847843	 0.0028045472	 0.0025542285	 0.0093659262	 0.0017700239	 0.0211747494	 0.0191744064	 0.0043818658	 0.4969523797	 0.0000150258	 4.8812348252	 0	 0.000000	 0.000000
5.7001360000	  0.0737308430	 0.0643965693	 0.0078692366	 0.0014650372	 0.0016651931	 0.0059696406	 0.0002981938	 0.0031411230	 0.0254635223	 0.0052300418	 0.5069243189	 0.0000022408	 4.4540935945	 0	 0.000000	 0.000000
6.5203360000	  0.0796009581	 0.0635973802	 0.0160035779	 0.0000000000	 0.0017641450	 0.0072336352	 0.0000000000	 0.0371607464	 0.0308781858	 0.0053523311	 0.5234521156	 0.0000265017	 4.4657146097	 0	 0.000000	 0.000000
7.3405360000	  0.1158439838	 0.1094648424	 0.0063791414	 0.0000000000	 0.0013438819	 0.0061089342	 0.0000000000	 0.0015337716	 0.0363499735	 0.0053523311	 0.5393207374	 0.0000010938	 4.9041756105	 0	 0.000000	 0.000000
8.1607360000	  0.1351442853	 0.1093974726	 0.0104174598	 0.0153293529	 0.0022435346	 0.0198624586	 0.0217717929	 0.0579458131	 0.0470008417	 0.0142809434	 0.5637133152	 0.0000390490	 4.8116211772	 0	 0.000000	 0.000000
8.9809360000	  0.1087514738	 0.1052102112	 0.0020667104	 0.0014745521	 0.0013548395	 0.0058288194	 0.0002022116	 0.0376929434	 0.0575368349	 0.0232924827	 0.6029347692	 0.0000054573	 4.2842709899	 0	 0.000000	 0.000000
9.8011360000	  0.1478142381	 0.1141042026	 0.0324908175	 0.0012192180	 0.0018932252	 0.0154700102	 0.0001006286	 0.0225593352	 0.0662714849	 0.0234166774	 0.6276442287	 0.0000089098	 4.5112212523	 0	 0.000000	 0.000000
10.6213360000	  0.0920465958	 0.0791084190	 0.0006316062	 0.0123065706	 0.0019922869	 0.0106679572	 0.0215755464	 0.0413227236	 0.0769906653	 0.0323060768	 0.6538422610	 0.0000242193	 4.3698116853	 0	 0.000000	 0.000000
11.4415360000	  0.1356794353	 0.1173281941	 0.0131154561	 0.0052357851	 0.0016916299	 0.0113369044	 0.0021513311	 0.0239640161	 0.0860148591	 0.0420364692	 0.6806163530	 0.0000164611	 5.0396197672	 0	 0.000000	 0.000000
