       depth	       totalf	        clayf	         capf	        freef	         mlT2	         Ksdr	          Ktc	         Ksoe	         Tsdr	          Ttc	         Tsoe	          soe	        noise	    unix_time	 board_temp	 magnet_temp
0.9991360000	  0.0516946990	 0.0251506663	 0.0215614153	 0.0049826174	 0.0054178520	 0.0443067654	 0.0057863496	 0.4643461792	 0.0000000000	 0.0000000000	 0.0000000000	 0.0001197802	 10.7612260841	 0	 0.000000	 0.000000
1.8193360000	  0.1080217250	 0.0827627163	 0.0053630770	 0.0198959317	 0.0029276594	 0.0270347267	 0.0541849509	 0.2350309270	 0.0292571459	 0.0245942303	 0.2868145512	 0.0001130089	 8.6545510063	 0	 0.000000	 0.000000
2.6395360000	  0.0503558748	 0.0111721446	 0.0388480616	 0.0003356685	 0.0065986560	 0.0640222426	 0.0000223104	 0.0570954751	 0.0665996091	 0.0468246282	 0.4066155887	 0.0000407103	 6.8571921874	 0	 0.000000	 0.000000
3.4597360000	  0.0599565706	 0.0437461634	 0.0037849034	 0.0124255038	 0.0035254912	 0.0217593453	 0.0403105289	 0.1732494837	 0.1017786383	 0.0633651256	 0.5010800563	 0.0000831439	 5.4794389881	 0	 0.000000	 0.000000
4.2799360000	  0.0639836750	 0.0562524691	 0.0018126892	 0.0059185167	 0.0026678584	 0.0132973316	 0.0065408761	 0.4687095854	 0.1161553815	 0.0825788868	 0.7643474706	 0.0000547266	 5.2941297787	 0	 0.000000	 0.000000
5.1001360000	  0.0592022933	 0.0269741791	 0.0300561439	 0.0021719702	 0.0039444843	 0.0268960655	 0.0008448938	 0.1048269323	 0.1326386936	 0.0856077910	 0.9995547965	 0.0000279566	 5.2950754748	 0	 0.000000	 0.000000
5.9203360000	  0.0658241716	 0.0584133259	 0.0000717329	 0.0073391128	 0.0027720993	 0.0147697356	 0.0101989796	 0.6739217481	 0.1497258386	 0.0901368835	 1.3189196303	 0.0000592655	 4.9363253545	 0	 0.000000	 0.000000
6.7405360000	  0.0106011751	 0.0000000000	 0.0030291277	 0.0075720474	 0.7250125935	 162.7102349701	 0.5879237736	 0.7133424597	 66.8832502684	 0.3354270246	 1.8878366819	 0.0000618191	 4.8354913650	 0	 0.000000	 0.000000
7.5607360000	  0.1066841609	 0.1008001908	 0.0018520269	 0.0040319432	 0.0016394554	 0.0083727655	 0.0016197645	 0.1997307942	 133.6141513008	 0.5771988296	 2.2622880233	 0.0000241985	 4.9072941675	 0	 0.000000	 0.000000
8.3809360000	  0.0103850454	 0.0004948446	 0.0034360569	 0.0064541439	 0.2928790630	 26.0108663206	 0.2588024315	 0.5296377756	 144.2846412501	 0.6839979722	 2.5614020738	 0.0000543432	 5.4209485465	 0	 0.000000	 0.000000
9.2011360000	  0.0669276272	 0.0570078390	 0.0056046388	 0.0043151495	 0.0024502516	 0.0117326622	 0.0031279916	 0.2672102871	 154.9565090929	 0.7914156387	 2.8881894643	 0.0000341133	 5.0723039935	 0	 0.000000	 0.000000
10.0213360000	  0.0725961832	 0.0510259112	 0.0118919112	 0.0096783607	 0.0031733186	 0.0213457244	 0.0169029047	 0.1513868783	 154.9700745393	 0.7996303093	 3.0598561619	 0.0000533170	 5.2750272544	 0	 0.000000	 0.000000
10.8415360000	  0.0490101586	 0.0293194695	 0.0021028945	 0.0175877946	 0.0235270767	 0.7921215137	 0.1509706592	 3.7039240266	 155.3036774536	 0.8684752578	 4.6409191640	 0.0003076934	 5.1234069645	 0	 0.000000	 0.000000
