       depth	       totalf	        clayf	         capf	        freef	         mlT2	         Ksdr	          Ktc	         Ksoe	         Tsdr	          Ttc	         Tsoe	          soe	        noise	    unix_time	 board_temp	 magnet_temp
1.3395360000	  0.0632349336	 0.0488227290	 0.0003945528	 0.0140176518	 0.0069152151	 0.0882954269	 0.0504654456	 2.3857766973	 0.0000000000	 0.0000000000	 0.0000000000	 0.0002146572	 9.0640847434	 0	 0.000000	 0.000000
2.1597360000	  0.0134726045	 0.0000000000	 0.0102650330	 0.0032075714	 0.0193259798	 0.1469279313	 0.0128257391	 0.2087279954	 0.0964650992	 0.0259557148	 1.0640063745	 0.0001461366	 7.4557736075	 0	 0.000000	 0.000000
2.9799360000	  0.0731901072	 0.0624659598	 0.0000667312	 0.0106574162	 0.0025734386	 0.0141530410	 0.0209185687	 0.4482379602	 0.1625244059	 0.0397942555	 1.3334281129	 0.0000881834	 5.9255270454	 0	 0.000000	 0.000000
3.8001360000	  0.1214786157	 0.0589211823	 0.0551672359	 0.0073901975	 0.0045165901	 0.0723587345	 0.0050164495	 0.8521382089	 0.1980028851	 0.0504302064	 1.8667123798	 0.0001060297	 5.0807560599	 0	 0.000000	 0.000000
4.6203360000	  0.1450080351	 0.1365441380	 0.0016933385	 0.0067705586	 0.0014446774	 0.0088369742	 0.0034234797	 0.0231248197	 0.2313012452	 0.0538914214	 2.2256577478	 0.0000142806	 5.1332000815	 0	 0.000000	 0.000000
5.4405360000	  0.1819338946	 0.1712566348	 0.0062215111	 0.0044557487	 0.0014553358	 0.0112514844	 0.0011286323	 0.0618282681	 0.2395395221	 0.0557582425	 2.2604970092	 0.0000189512	 4.7531358260	 0	 0.000000	 0.000000
6.2607360000	  0.0660528580	 0.0536664632	 0.0123863948	 0.0000000000	 0.0017951554	 0.0062153484	 0.0000000000	 0.0811234658	 0.2467026703	 0.0562210946	 2.3191215153	 0.0000578561	 5.5499888779	 0	 0.000000	 0.000000
7.0809360000	  0.1536728454	 0.1365375110	 0.0026430874	 0.0144922470	 0.0019281968	 0.0166828265	 0.0163979584	 0.2920015687	 0.2560932118	 0.0629458974	 2.4721400919	 0.0001119490	 5.9583871707	 0	 0.000000	 0.000000
7.9011360000	  0.1033253892	 0.0963264456	 0.0013442309	 0.0056547127	 0.0015610033	 0.0073516435	 0.0034084367	 0.0647678735	 0.2659497480	 0.0710685000	 2.6184512401	 0.0000351096	 4.7450585128	 0	 0.000000	 0.000000
8.7213360000	  0.0802404970	 0.0682144849	 0.0058781928	 0.0061478193	 0.0024559083	 0.0141314811	 0.0054363465	 0.6341593665	 0.2747599774	 0.0746957456	 2.9050813013	 0.0001485417	 4.8514786132	 0	 0.000000	 0.000000
9.5415360000	  0.1073815635	 0.1010506648	 0.0063308987	 0.0000000000	 0.0013131209	 0.0054064092	 0.0000000000	 0.0375488258	 0.2827724662	 0.0769251913	 3.1805488309	 0.0000267785	 4.7326734696	 0	 0.000000	 0.000000
10.3617360000	  0.0171011955	 0.0000898084	 0.0170113871	 0.0000000000	 0.0067272542	 0.0225980994	 0.0000000000	 0.1266286234	 0.2942571152	 0.0769251913	 3.2478780028	 0.0000903070	 4.5070359862	 0	 0.000000	 0.000000
11.1819360000	  0.0155534229	 0.0014929979	 0.0140030767	 0.0000573482	 0.0100090950	 0.0454972731	 0.0000020879	 0.0344145801	 0.3221830275	 0.0769260475	 3.3139218206	 0.0000245511	 4.6264841051	 0	 0.000000	 0.000000
